"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Side Plank";"Mobility";"Kettlebells";"Core";"Hold";"Lats, Triceps, Glutes";"Maintain a stable position, keeping your Lats, Triceps, Glutes engaged throughout the duration."
"Resistance Band Pull";"Strength";"None";"Upper Body";"Static";"Rear Deltoids, Glutes";"Hold the position steadily, ensuring your Rear Deltoids, Glutes remain activated without losing alignment."
"Plank";"Strength";"Resistance Band";"Lower Body";"Push";"Hamstrings, Shoulders, Abs, Rear Deltoids, Forearms";"Perform the movement by engaging your Hamstrings, Shoulders, Abs, Rear Deltoids, Forearms and keeping proper form. Avoid overextending."
"Wall Sit";"Cardio";"Cable Machine";"Lower Body";"Hold";"Traps, Glutes, Core";"Maintain a stable position, keeping your Traps, Glutes, Core engaged throughout the duration."
"Lunges";"Mobility";"Kettlebells";"Core";"Hold";"Lats, Biceps, Hamstrings, Quadriceps, Shoulders";"Maintain a stable position, keeping your Lats, Biceps, Hamstrings, Quadriceps, Shoulders engaged throughout the duration."
"Lunges";"Mobility";"Medicine Ball";"Lower Body";"Hold";"Core, Forearms, Abs, Lower Back";"Maintain a stable position, keeping your Core, Forearms, Abs, Lower Back engaged throughout the duration."
"Plank";"Cardio";"Medicine Ball";"Lower Body";"Hold";"Traps, Shoulders, Rear Deltoids, Triceps, Chest";"Maintain a stable position, keeping your Traps, Shoulders, Rear Deltoids, Triceps, Chest engaged throughout the duration."
"Dumbbell Rows";"Cardio";"Bodyweight";"Core";"Push";"Glutes, Forearms, Chest, Shoulders";"Perform the movement by engaging your Glutes, Forearms, Chest, Shoulders and keeping proper form. Avoid overextending."
"Leg Raises";"Mobility";"Medicine Ball";"Full Body";"Static";"Shoulders, Hamstrings, Chest, Triceps";"Hold the position steadily, ensuring your Shoulders, Hamstrings, Chest, Triceps remain activated without losing alignment."
"Overhead Press";"Warm-up";"Medicine Ball";"Core";"Hold";"Core, Hip Flexors, Hamstrings, Biceps, Lower Back";"Maintain a stable position, keeping your Core, Hip Flexors, Hamstrings, Biceps, Lower Back engaged throughout the duration."
"Russian Twists";"Mobility";"Kettlebells";"Core";"Pull";"Chest, Forearms, Glutes, Triceps";"Pull the kettlebells towards you using your Chest, Forearms, Glutes, Triceps, and return to the starting position with control."
"Bench Press";"Cardio";"Medicine Ball";"Core";"Pull";"Rear Deltoids, Triceps, Lats, Biceps";"Pull the medicine ball towards you using your Rear Deltoids, Triceps, Lats, Biceps, and return to the starting position with control."
"Bicep Curls";"Cardio";"None";"Upper Body";"Static";"Glutes, Hip Flexors, Abs, Lats";"Hold the position steadily, ensuring your Glutes, Hip Flexors, Abs, Lats remain activated without losing alignment."
"Lunges";"Cardio";"Medicine Ball";"Upper Body";"Hold";"Hamstrings, Quadriceps, Lats";"Maintain a stable position, keeping your Hamstrings, Quadriceps, Lats engaged throughout the duration."
"Lunges";"Cardio";"Resistance Band";"Upper Body";"Push";"Chest, Shoulders";"Perform the movement by engaging your Chest, Shoulders and keeping proper form. Avoid overextending."
"Tricep Dips";"Strength";"Pull-Up Bar";"Full Body";"Pull";"Biceps, Core, Hip Flexors";"Pull the pull-up bar towards you using your Biceps, Core, Hip Flexors, and return to the starting position with control."
"Push-Ups";"Warm-up";"Cable Machine";"Core";"Pull";"Triceps, Lower Back, Abs, Rear Deltoids";"Pull the cable machine towards you using your Triceps, Lower Back, Abs, Rear Deltoids, and return to the starting position with control."
"Pull-Ups";"Mobility";"Pull-Up Bar";"Core";"Push";"Forearms, Rear Deltoids, Core";"Perform the movement by engaging your Forearms, Rear Deltoids, Core and keeping proper form. Avoid overextending."
"Burpees";"Warm-up";"Kettlebells";"Full Body";"Push";"Rear Deltoids, Core, Traps, Biceps";"Perform the movement by engaging your Rear Deltoids, Core, Traps, Biceps and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Warm-up";"Dumbbells";"Upper Body";"Push";"Biceps, Lats, Core";"Perform the movement by engaging your Biceps, Lats, Core and keeping proper form. Avoid overextending."
"Side Plank";"Mobility";"Barbell";"Core";"Push";"Lower Back, Chest, Hip Flexors, Rear Deltoids, Shoulders";"Perform the movement by engaging your Lower Back, Chest, Hip Flexors, Rear Deltoids, Shoulders and keeping proper form. Avoid overextending."
"Wall Sit";"Strength";"None";"Upper Body";"Static";"Rear Deltoids, Chest, Biceps, Hamstrings, Triceps";"Hold the position steadily, ensuring your Rear Deltoids, Chest, Biceps, Hamstrings, Triceps remain activated without losing alignment."
"Overhead Press";"Mobility";"Kettlebells";"Upper Body";"Push";"Chest, Biceps, Shoulders, Lower Back";"Perform the movement by engaging your Chest, Biceps, Shoulders, Lower Back and keeping proper form. Avoid overextending."
"Bench Press";"Cardio";"Kettlebells";"Lower Body";"Pull";"Quadriceps, Hip Flexors, Rear Deltoids, Lower Back";"Pull the kettlebells towards you using your Quadriceps, Hip Flexors, Rear Deltoids, Lower Back, and return to the starting position with control."
"Resistance Band Pull";"Mobility";"Resistance Band";"Lower Body";"Static";"Glutes, Traps";"Hold the position steadily, ensuring your Glutes, Traps remain activated without losing alignment."
"Resistance Band Pull";"Cardio";"Bodyweight";"Full Body";"Push";"Traps, Forearms, Rear Deltoids, Triceps, Hamstrings";"Perform the movement by engaging your Traps, Forearms, Rear Deltoids, Triceps, Hamstrings and keeping proper form. Avoid overextending."
"Leg Raises";"Warm-up";"Medicine Ball";"Lower Body";"Static";"Lower Back, Forearms, Quadriceps, Rear Deltoids, Triceps";"Hold the position steadily, ensuring your Lower Back, Forearms, Quadriceps, Rear Deltoids, Triceps remain activated without losing alignment."
"Deadlifts";"Strength";"Barbell";"Core";"Pull";"Lower Back, Glutes, Traps, Hamstrings";"Pull the barbell towards you using your Lower Back, Glutes, Traps, Hamstrings, and return to the starting position with control."
"Deadlifts";"Strength";"Medicine Ball";"Upper Body";"Static";"Traps, Biceps";"Hold the position steadily, ensuring your Traps, Biceps remain activated without losing alignment."
"Burpees";"Warm-up";"Pull-Up Bar";"Lower Body";"Hold";"Glutes, Biceps, Quadriceps";"Maintain a stable position, keeping your Glutes, Biceps, Quadriceps engaged throughout the duration."
"Jumping Jacks";"Warm-up";"Pull-Up Bar";"Core";"Hold";"Rear Deltoids, Lower Back, Forearms, Chest, Abs";"Maintain a stable position, keeping your Rear Deltoids, Lower Back, Forearms, Chest, Abs engaged throughout the duration."
"Leg Raises";"Warm-up";"Medicine Ball";"Lower Body";"Push";"Lats, Glutes, Biceps, Hip Flexors, Traps";"Perform the movement by engaging your Lats, Glutes, Biceps, Hip Flexors, Traps and keeping proper form. Avoid overextending."
"Deadlifts";"Cardio";"Cable Machine";"Upper Body";"Static";"Quadriceps, Glutes, Forearms, Triceps, Hamstrings";"Hold the position steadily, ensuring your Quadriceps, Glutes, Forearms, Triceps, Hamstrings remain activated without losing alignment."
"Russian Twists";"Strength";"Dumbbells";"Core";"Pull";"Core, Quadriceps, Shoulders, Chest";"Pull the dumbbells towards you using your Core, Quadriceps, Shoulders, Chest, and return to the starting position with control."
"Kettlebell Swings";"Strength";"Barbell";"Core";"Push";"Hamstrings, Quadriceps, Glutes";"Perform the movement by engaging your Hamstrings, Quadriceps, Glutes and keeping proper form. Avoid overextending."
"Overhead Press";"Cardio";"None";"Core";"Hold";"Abs, Chest, Lower Back";"Maintain a stable position, keeping your Abs, Chest, Lower Back engaged throughout the duration."
"Plank";"Mobility";"Medicine Ball";"Lower Body";"Hold";"Lower Back, Shoulders";"Maintain a stable position, keeping your Lower Back, Shoulders engaged throughout the duration."
"Dumbbell Rows";"Mobility";"Resistance Band";"Lower Body";"Push";"Core, Triceps, Traps, Chest, Biceps";"Perform the movement by engaging your Core, Triceps, Traps, Chest, Biceps and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"None";"Core";"Hold";"Quadriceps, Core, Biceps, Triceps, Shoulders";"Maintain a stable position, keeping your Quadriceps, Core, Biceps, Triceps, Shoulders engaged throughout the duration."
"Overhead Press";"Strength";"Pull-Up Bar";"Core";"Static";"Chest, Rear Deltoids";"Hold the position steadily, ensuring your Chest, Rear Deltoids remain activated without losing alignment."
"Bench Press";"Cardio";"Resistance Band";"Full Body";"Pull";"Hip Flexors, Quadriceps";"Pull the resistance band towards you using your Hip Flexors, Quadriceps, and return to the starting position with control."
"Dumbbell Rows";"Strength";"None";"Upper Body";"Hold";"Lats, Rear Deltoids";"Maintain a stable position, keeping your Lats, Rear Deltoids engaged throughout the duration."
"Dumbbell Rows";"Warm-up";"Barbell";"Upper Body";"Pull";"Triceps, Lats, Biceps, Glutes";"Pull the barbell towards you using your Triceps, Lats, Biceps, Glutes, and return to the starting position with control."
"Resistance Band Pull";"Cardio";"Cable Machine";"Lower Body";"Push";"Abs, Rear Deltoids, Lower Back, Hamstrings";"Perform the movement by engaging your Abs, Rear Deltoids, Lower Back, Hamstrings and keeping proper form. Avoid overextending."
"Leg Raises";"Strength";"Barbell";"Full Body";"Static";"Traps, Lower Back, Hip Flexors";"Hold the position steadily, ensuring your Traps, Lower Back, Hip Flexors remain activated without losing alignment."
"Bicep Curls";"Strength";"Bodyweight";"Full Body";"Hold";"Core, Glutes";"Maintain a stable position, keeping your Core, Glutes engaged throughout the duration."
"Plank";"Warm-up";"Cable Machine";"Core";"Hold";"Traps, Forearms, Chest";"Maintain a stable position, keeping your Traps, Forearms, Chest engaged throughout the duration."
"Wall Sit";"Cardio";"Barbell";"Full Body";"Pull";"Quadriceps, Triceps";"Pull the barbell towards you using your Quadriceps, Triceps, and return to the starting position with control."
"Squats";"Mobility";"Dumbbells";"Full Body";"Pull";"Chest, Forearms, Core, Biceps";"Pull the dumbbells towards you using your Chest, Forearms, Core, Biceps, and return to the starting position with control."
"Tricep Dips";"Warm-up";"Dumbbells";"Full Body";"Pull";"Lats, Glutes";"Pull the dumbbells towards you using your Lats, Glutes, and return to the starting position with control."
"Leg Raises";"Strength";"Barbell";"Full Body";"Push";"Shoulders, Forearms";"Perform the movement by engaging your Shoulders, Forearms and keeping proper form. Avoid overextending."
"Burpees";"Cardio";"Cable Machine";"Core";"Hold";"Triceps, Abs";"Maintain a stable position, keeping your Triceps, Abs engaged throughout the duration."
"Bicep Curls";"Cardio";"Barbell";"Upper Body";"Push";"Shoulders, Chest, Quadriceps";"Perform the movement by engaging your Shoulders, Chest, Quadriceps and keeping proper form. Avoid overextending."
"Mountain Climbers";"Mobility";"Barbell";"Full Body";"Static";"Lats, Quadriceps, Shoulders";"Hold the position steadily, ensuring your Lats, Quadriceps, Shoulders remain activated without losing alignment."
"Lunges";"Mobility";"Barbell";"Full Body";"Pull";"Chest, Glutes, Hip Flexors, Biceps";"Pull the barbell towards you using your Chest, Glutes, Hip Flexors, Biceps, and return to the starting position with control."
"Leg Raises";"Cardio";"None";"Upper Body";"Pull";"Abs, Chest, Forearms, Rear Deltoids, Lower Back";"Pull the your body towards you using your Abs, Chest, Forearms, Rear Deltoids, Lower Back, and return to the starting position with control."
"Wall Sit";"Strength";"Kettlebells";"Full Body";"Static";"Quadriceps, Lower Back, Hip Flexors";"Hold the position steadily, ensuring your Quadriceps, Lower Back, Hip Flexors remain activated without losing alignment."
"Burpees";"Mobility";"Kettlebells";"Core";"Hold";"Glutes, Core";"Maintain a stable position, keeping your Glutes, Core engaged throughout the duration."
"Bicep Curls";"Cardio";"Medicine Ball";"Core";"Static";"Quadriceps, Lats";"Hold the position steadily, ensuring your Quadriceps, Lats remain activated without losing alignment."
"Push-Ups";"Cardio";"Dumbbells";"Upper Body";"Hold";"Rear Deltoids, Forearms, Lats, Chest";"Maintain a stable position, keeping your Rear Deltoids, Forearms, Lats, Chest engaged throughout the duration."
"Mountain Climbers";"Mobility";"Resistance Band";"Lower Body";"Static";"Chest, Hamstrings, Hip Flexors, Lats";"Hold the position steadily, ensuring your Chest, Hamstrings, Hip Flexors, Lats remain activated without losing alignment."
"Kettlebell Swings";"Warm-up";"Dumbbells";"Upper Body";"Push";"Quadriceps, Biceps";"Perform the movement by engaging your Quadriceps, Biceps and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Cardio";"None";"Upper Body";"Push";"Core, Rear Deltoids";"Perform the movement by engaging your Core, Rear Deltoids and keeping proper form. Avoid overextending."
"Plank";"Warm-up";"Cable Machine";"Upper Body";"Push";"Chest, Shoulders";"Perform the movement by engaging your Chest, Shoulders and keeping proper form. Avoid overextending."
"Leg Raises";"Cardio";"Medicine Ball";"Full Body";"Push";"Biceps, Chest, Lats";"Perform the movement by engaging your Biceps, Chest, Lats and keeping proper form. Avoid overextending."
"Bicep Curls";"Strength";"Pull-Up Bar";"Upper Body";"Hold";"Abs, Hip Flexors, Hamstrings";"Maintain a stable position, keeping your Abs, Hip Flexors, Hamstrings engaged throughout the duration."
"Wall Sit";"Warm-up";"Bodyweight";"Full Body";"Push";"Glutes, Abs, Forearms";"Perform the movement by engaging your Glutes, Abs, Forearms and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Mobility";"Medicine Ball";"Core";"Push";"Rear Deltoids, Abs, Chest, Lower Back, Triceps";"Perform the movement by engaging your Rear Deltoids, Abs, Chest, Lower Back, Triceps and keeping proper form. Avoid overextending."
"Plank";"Cardio";"Barbell";"Full Body";"Static";"Core, Glutes, Rear Deltoids, Abs";"Hold the position steadily, ensuring your Core, Glutes, Rear Deltoids, Abs remain activated without losing alignment."
"Bicep Curls";"Cardio";"Barbell";"Lower Body";"Push";"Rear Deltoids, Lower Back, Shoulders";"Perform the movement by engaging your Rear Deltoids, Lower Back, Shoulders and keeping proper form. Avoid overextending."
"Squats";"Cardio";"Dumbbells";"Core";"Push";"Quadriceps, Triceps";"Perform the movement by engaging your Quadriceps, Triceps and keeping proper form. Avoid overextending."
"Russian Twists";"Warm-up";"Cable Machine";"Core";"Static";"Hip Flexors, Triceps, Forearms, Shoulders, Biceps";"Hold the position steadily, ensuring your Hip Flexors, Triceps, Forearms, Shoulders, Biceps remain activated without losing alignment."
"Pull-Ups";"Mobility";"Cable Machine";"Lower Body";"Pull";"Chest, Forearms, Triceps, Biceps";"Pull the cable machine towards you using your Chest, Forearms, Triceps, Biceps, and return to the starting position with control."
"Russian Twists";"Strength";"Resistance Band";"Full Body";"Hold";"Abs, Biceps, Rear Deltoids";"Maintain a stable position, keeping your Abs, Biceps, Rear Deltoids engaged throughout the duration."
"Burpees";"Mobility";"None";"Lower Body";"Pull";"Shoulders, Abs, Lats, Forearms, Lower Back";"Pull the your body towards you using your Shoulders, Abs, Lats, Forearms, Lower Back, and return to the starting position with control."
"Pull-Ups";"Strength";"Resistance Band";"Full Body";"Push";"Triceps, Shoulders, Lats, Quadriceps, Traps";"Perform the movement by engaging your Triceps, Shoulders, Lats, Quadriceps, Traps and keeping proper form. Avoid overextending."
"Russian Twists";"Strength";"None";"Core";"Static";"Lower Back, Forearms, Shoulders, Quadriceps, Core";"Hold the position steadily, ensuring your Lower Back, Forearms, Shoulders, Quadriceps, Core remain activated without losing alignment."
"Push-Ups";"Cardio";"Cable Machine";"Core";"Hold";"Core, Forearms, Shoulders";"Maintain a stable position, keeping your Core, Forearms, Shoulders engaged throughout the duration."
"Squats";"Warm-up";"None";"Upper Body";"Push";"Lats, Rear Deltoids, Biceps, Shoulders, Traps";"Perform the movement by engaging your Lats, Rear Deltoids, Biceps, Shoulders, Traps and keeping proper form. Avoid overextending."
"Lunges";"Warm-up";"Cable Machine";"Core";"Hold";"Biceps, Rear Deltoids";"Maintain a stable position, keeping your Biceps, Rear Deltoids engaged throughout the duration."
"Mountain Climbers";"Strength";"Dumbbells";"Lower Body";"Push";"Traps, Triceps, Rear Deltoids";"Perform the movement by engaging your Traps, Triceps, Rear Deltoids and keeping proper form. Avoid overextending."
"Mountain Climbers";"Cardio";"Cable Machine";"Core";"Push";"Hip Flexors, Rear Deltoids, Hamstrings, Forearms";"Perform the movement by engaging your Hip Flexors, Rear Deltoids, Hamstrings, Forearms and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Strength";"Cable Machine";"Full Body";"Hold";"Biceps, Shoulders, Triceps";"Maintain a stable position, keeping your Biceps, Shoulders, Triceps engaged throughout the duration."
"Side Plank";"Strength";"Dumbbells";"Core";"Static";"Glutes, Shoulders, Traps, Quadriceps, Lower Back";"Hold the position steadily, ensuring your Glutes, Shoulders, Traps, Quadriceps, Lower Back remain activated without losing alignment."
"Kettlebell Swings";"Warm-up";"Bodyweight";"Core";"Pull";"Shoulders, Chest, Hip Flexors";"Pull the bodyweight towards you using your Shoulders, Chest, Hip Flexors, and return to the starting position with control."
"Tricep Dips";"Cardio";"Resistance Band";"Upper Body";"Pull";"Chest, Glutes";"Pull the resistance band towards you using your Chest, Glutes, and return to the starting position with control."
"Push-Ups";"Cardio";"Medicine Ball";"Full Body";"Hold";"Hip Flexors, Hamstrings";"Maintain a stable position, keeping your Hip Flexors, Hamstrings engaged throughout the duration."
"Deadlifts";"Cardio";"Kettlebells";"Core";"Pull";"Lower Back, Core";"Pull the kettlebells towards you using your Lower Back, Core, and return to the starting position with control."
"Side Plank";"Mobility";"Dumbbells";"Upper Body";"Push";"Abs, Hip Flexors";"Perform the movement by engaging your Abs, Hip Flexors and keeping proper form. Avoid overextending."
"Russian Twists";"Strength";"Bodyweight";"Core";"Pull";"Lower Back, Hip Flexors, Chest";"Pull the bodyweight towards you using your Lower Back, Hip Flexors, Chest, and return to the starting position with control."
"Jumping Jacks";"Mobility";"Kettlebells";"Lower Body";"Hold";"Triceps, Rear Deltoids, Core";"Maintain a stable position, keeping your Triceps, Rear Deltoids, Core engaged throughout the duration."
"Lunges";"Mobility";"Dumbbells";"Full Body";"Hold";"Rear Deltoids, Hip Flexors, Glutes, Triceps, Forearms";"Maintain a stable position, keeping your Rear Deltoids, Hip Flexors, Glutes, Triceps, Forearms engaged throughout the duration."
"Wall Sit";"Mobility";"Medicine Ball";"Core";"Push";"Glutes, Forearms";"Perform the movement by engaging your Glutes, Forearms and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Mobility";"Cable Machine";"Full Body";"Static";"Lats, Rear Deltoids, Core, Chest";"Hold the position steadily, ensuring your Lats, Rear Deltoids, Core, Chest remain activated without losing alignment."
"Overhead Press";"Cardio";"Cable Machine";"Core";"Pull";"Shoulders, Traps, Quadriceps";"Pull the cable machine towards you using your Shoulders, Traps, Quadriceps, and return to the starting position with control."
"Leg Raises";"Warm-up";"Dumbbells";"Full Body";"Hold";"Forearms, Hamstrings";"Maintain a stable position, keeping your Forearms, Hamstrings engaged throughout the duration."
"Push-Ups";"Cardio";"None";"Full Body";"Hold";"Traps, Biceps, Shoulders";"Maintain a stable position, keeping your Traps, Biceps, Shoulders engaged throughout the duration."
"Russian Twists";"Mobility";"Pull-Up Bar";"Full Body";"Static";"Triceps, Forearms";"Hold the position steadily, ensuring your Triceps, Forearms remain activated without losing alignment."
"Lunges";"Cardio";"Barbell";"Core";"Static";"Traps, Chest, Glutes";"Hold the position steadily, ensuring your Traps, Chest, Glutes remain activated without losing alignment."
"Jumping Jacks";"Cardio";"None";"Core";"Push";"Lats, Abs";"Perform the movement by engaging your Lats, Abs and keeping proper form. Avoid overextending."
"Mountain Climbers";"Strength";"Pull-Up Bar";"Upper Body";"Push";"Forearms, Lower Back, Biceps, Rear Deltoids, Glutes";"Perform the movement by engaging your Forearms, Lower Back, Biceps, Rear Deltoids, Glutes and keeping proper form. Avoid overextending."
"Plank";"Warm-up";"Medicine Ball";"Core";"Push";"Shoulders, Quadriceps, Hip Flexors, Traps";"Perform the movement by engaging your Shoulders, Quadriceps, Hip Flexors, Traps and keeping proper form. Avoid overextending."
"Tricep Dips";"Mobility";"Medicine Ball";"Core";"Pull";"Shoulders, Hamstrings, Glutes";"Pull the medicine ball towards you using your Shoulders, Hamstrings, Glutes, and return to the starting position with control."
"Wall Sit";"Warm-up";"Kettlebells";"Lower Body";"Hold";"Hamstrings, Traps, Lats, Shoulders, Triceps";"Maintain a stable position, keeping your Hamstrings, Traps, Lats, Shoulders, Triceps engaged throughout the duration."
"Side Plank";"Warm-up";"Dumbbells";"Lower Body";"Static";"Hamstrings, Biceps, Hip Flexors, Core, Traps";"Hold the position steadily, ensuring your Hamstrings, Biceps, Hip Flexors, Core, Traps remain activated without losing alignment."
"Wall Sit";"Strength";"Dumbbells";"Lower Body";"Hold";"Core, Traps, Forearms, Rear Deltoids, Triceps";"Maintain a stable position, keeping your Core, Traps, Forearms, Rear Deltoids, Triceps engaged throughout the duration."
"Bench Press";"Strength";"None";"Full Body";"Push";"Shoulders, Lower Back, Abs, Glutes, Hamstrings";"Perform the movement by engaging your Shoulders, Lower Back, Abs, Glutes, Hamstrings and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Mobility";"Bodyweight";"Core";"Push";"Hamstrings, Chest, Triceps, Lats";"Perform the movement by engaging your Hamstrings, Chest, Triceps, Lats and keeping proper form. Avoid overextending."
"Mountain Climbers";"Mobility";"Kettlebells";"Upper Body";"Push";"Biceps, Core, Traps, Hip Flexors, Abs";"Perform the movement by engaging your Biceps, Core, Traps, Hip Flexors, Abs and keeping proper form. Avoid overextending."
"Bicep Curls";"Warm-up";"Dumbbells";"Upper Body";"Hold";"Traps, Biceps";"Maintain a stable position, keeping your Traps, Biceps engaged throughout the duration."
"Pull-Ups";"Warm-up";"Resistance Band";"Lower Body";"Push";"Traps, Hip Flexors, Abs, Shoulders, Hamstrings";"Perform the movement by engaging your Traps, Hip Flexors, Abs, Shoulders, Hamstrings and keeping proper form. Avoid overextending."
"Leg Raises";"Strength";"Medicine Ball";"Upper Body";"Hold";"Rear Deltoids, Shoulders, Chest, Glutes, Core";"Maintain a stable position, keeping your Rear Deltoids, Shoulders, Chest, Glutes, Core engaged throughout the duration."
"Pull-Ups";"Strength";"Resistance Band";"Upper Body";"Push";"Core, Traps, Shoulders";"Perform the movement by engaging your Core, Traps, Shoulders and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Cardio";"Kettlebells";"Full Body";"Static";"Lats, Hip Flexors, Hamstrings, Core, Forearms";"Hold the position steadily, ensuring your Lats, Hip Flexors, Hamstrings, Core, Forearms remain activated without losing alignment."
"Bicep Curls";"Mobility";"None";"Lower Body";"Pull";"Triceps, Chest";"Pull the your body towards you using your Triceps, Chest, and return to the starting position with control."
"Lunges";"Strength";"Medicine Ball";"Core";"Hold";"Abs, Shoulders";"Maintain a stable position, keeping your Abs, Shoulders engaged throughout the duration."
"Resistance Band Pull";"Cardio";"Pull-Up Bar";"Core";"Hold";"Core, Triceps, Rear Deltoids, Lats";"Maintain a stable position, keeping your Core, Triceps, Rear Deltoids, Lats engaged throughout the duration."
"Push-Ups";"Cardio";"None";"Lower Body";"Hold";"Shoulders, Traps, Quadriceps";"Maintain a stable position, keeping your Shoulders, Traps, Quadriceps engaged throughout the duration."
"Russian Twists";"Strength";"Dumbbells";"Core";"Pull";"Hamstrings, Chest, Lats";"Pull the dumbbells towards you using your Hamstrings, Chest, Lats, and return to the starting position with control."
"Bicep Curls";"Strength";"Medicine Ball";"Core";"Push";"Lats, Hip Flexors, Traps, Shoulders, Hamstrings";"Perform the movement by engaging your Lats, Hip Flexors, Traps, Shoulders, Hamstrings and keeping proper form. Avoid overextending."
"Plank";"Strength";"None";"Core";"Hold";"Rear Deltoids, Chest";"Maintain a stable position, keeping your Rear Deltoids, Chest engaged throughout the duration."
"Dumbbell Rows";"Cardio";"None";"Full Body";"Pull";"Triceps, Quadriceps, Shoulders";"Pull the your body towards you using your Triceps, Quadriceps, Shoulders, and return to the starting position with control."
"Push-Ups";"Strength";"Dumbbells";"Upper Body";"Hold";"Biceps, Rear Deltoids, Core";"Maintain a stable position, keeping your Biceps, Rear Deltoids, Core engaged throughout the duration."
"Side Plank";"Cardio";"Cable Machine";"Upper Body";"Static";"Abs, Forearms";"Hold the position steadily, ensuring your Abs, Forearms remain activated without losing alignment."
"Bench Press";"Warm-up";"Dumbbells";"Core";"Pull";"Shoulders, Glutes, Lats";"Pull the dumbbells towards you using your Shoulders, Glutes, Lats, and return to the starting position with control."
"Bench Press";"Strength";"None";"Lower Body";"Hold";"Shoulders, Rear Deltoids, Biceps, Lower Back, Traps";"Maintain a stable position, keeping your Shoulders, Rear Deltoids, Biceps, Lower Back, Traps engaged throughout the duration."
"Plank";"Warm-up";"Cable Machine";"Lower Body";"Push";"Hip Flexors, Traps";"Perform the movement by engaging your Hip Flexors, Traps and keeping proper form. Avoid overextending."
"Squats";"Strength";"Resistance Band";"Core";"Push";"Abs, Chest";"Perform the movement by engaging your Abs, Chest and keeping proper form. Avoid overextending."
"Tricep Dips";"Cardio";"Bodyweight";"Full Body";"Hold";"Glutes, Shoulders, Abs, Traps";"Maintain a stable position, keeping your Glutes, Shoulders, Abs, Traps engaged throughout the duration."
"Overhead Press";"Strength";"Kettlebells";"Upper Body";"Static";"Core, Chest, Traps";"Hold the position steadily, ensuring your Core, Chest, Traps remain activated without losing alignment."
"Side Plank";"Mobility";"Barbell";"Full Body";"Push";"Rear Deltoids, Lats, Forearms";"Perform the movement by engaging your Rear Deltoids, Lats, Forearms and keeping proper form. Avoid overextending."
"Plank";"Strength";"Bodyweight";"Full Body";"Hold";"Chest, Triceps";"Maintain a stable position, keeping your Chest, Triceps engaged throughout the duration."
"Leg Raises";"Cardio";"Dumbbells";"Core";"Hold";"Glutes, Abs, Chest, Shoulders, Traps";"Maintain a stable position, keeping your Glutes, Abs, Chest, Shoulders, Traps engaged throughout the duration."
"Squats";"Warm-up";"Barbell";"Core";"Static";"Rear Deltoids, Lower Back, Forearms";"Hold the position steadily, ensuring your Rear Deltoids, Lower Back, Forearms remain activated without losing alignment."
"Push-Ups";"Strength";"Kettlebells";"Core";"Static";"Quadriceps, Forearms, Traps";"Hold the position steadily, ensuring your Quadriceps, Forearms, Traps remain activated without losing alignment."
"Resistance Band Pull";"Warm-up";"None";"Full Body";"Push";"Hamstrings, Rear Deltoids";"Perform the movement by engaging your Hamstrings, Rear Deltoids and keeping proper form. Avoid overextending."
"Bench Press";"Cardio";"Barbell";"Full Body";"Push";"Glutes, Chest, Triceps, Lower Back";"Perform the movement by engaging your Glutes, Chest, Triceps, Lower Back and keeping proper form. Avoid overextending."
"Jumping Jacks";"Cardio";"Dumbbells";"Core";"Push";"Lats, Forearms, Quadriceps, Glutes, Chest";"Perform the movement by engaging your Lats, Forearms, Quadriceps, Glutes, Chest and keeping proper form. Avoid overextending."
"Overhead Press";"Warm-up";"Barbell";"Upper Body";"Hold";"Glutes, Triceps";"Maintain a stable position, keeping your Glutes, Triceps engaged throughout the duration."
"Lunges";"Strength";"Dumbbells";"Upper Body";"Push";"Forearms, Lats, Rear Deltoids, Triceps, Glutes";"Perform the movement by engaging your Forearms, Lats, Rear Deltoids, Triceps, Glutes and keeping proper form. Avoid overextending."
"Deadlifts";"Warm-up";"Medicine Ball";"Core";"Push";"Chest, Forearms, Lower Back, Hamstrings";"Perform the movement by engaging your Chest, Forearms, Lower Back, Hamstrings and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Cardio";"Resistance Band";"Full Body";"Pull";"Abs, Lats, Quadriceps, Traps";"Pull the resistance band towards you using your Abs, Lats, Quadriceps, Traps, and return to the starting position with control."
"Leg Raises";"Warm-up";"Bodyweight";"Lower Body";"Hold";"Triceps, Forearms";"Maintain a stable position, keeping your Triceps, Forearms engaged throughout the duration."
"Deadlifts";"Cardio";"Pull-Up Bar";"Full Body";"Pull";"Shoulders, Chest, Lower Back";"Pull the pull-up bar towards you using your Shoulders, Chest, Lower Back, and return to the starting position with control."
"Pull-Ups";"Mobility";"Bodyweight";"Upper Body";"Hold";"Core, Biceps, Quadriceps, Chest";"Maintain a stable position, keeping your Core, Biceps, Quadriceps, Chest engaged throughout the duration."
